BS2_1	BS2_2	BS2_3	BS2_4	BS2_5	BS2_6	BS2_7	BS2_8	BS2_9	BS2_10	BS2_11	BS2_12	BS2_13	BS2_14	BS2_15	BS2_16	BS2_17	BS2_18	BS2_19	BS2_20	BS2_21	BS2_22	BS2_23	BS2_24	BS2_25	BS2_26	BS2_27	BS2_28	BS2_29	BS2_30	BS2_31	BS2_32	BS2_33	BS2_34	BS2_35	BS2_36	BS2_37	BS2_38	BS2_39	BS2_40	BS2_41	BS2_42	BS2_43	BS2_44	BS2_45	BS2_46	BS2_47	BS2_48	BS2_49	BS2_50
.36916324	-.087059207	.31952846	.042716991	.25424281	.31277591	.015775291	.31300375	.085848749	.11514731	.18857105	.2704438	.058913194	-.018248172	-.014842168	.015314079	-.19806267	-.19287154	.12751918	.12141729	-.3872039	-.0031821672	.56739157	-.14407291	-.004278102	.019437337	-.12097687	-.15367424	-.076365478	.48684901	.14584872	.21038513	.44889063	1.2460691	.51109898	.46797937	1.1457317	.32802278	.44437397	.81732386	.61979091	.15453735	.12173528	.12660532	.27351329	.4358491	.25737983	.2482499	.079932861	.16148607
.43441713	-.23980154	.37695637	-.082093991	.16960117	-.057253033	.0083622327	.0045235055	.12751508	-.20896454	.031275202	.28931227	.0081995744	-.10452567	.0025308947	.036224194	-.28022519	-.18035409	.015612873	.22943133	.16976614	-.11876605	.032131143	.0037225997	.29663268	.38051051	.022632791	-.033728108	-.11841132	-.030880779	-.033004943	.36251909	.098727107	.83229601	.41470474	.46380928	.69199401	.37431514	.77615875	.85865206	.83984989	.71616006	.0036076168	.28632712	.22950986	.40707192	.16925471	.12445351	.2780816	-.00026479922
.32012975	-.18300839	.0096763456	.6159004	.16998465	.21999949	.0016003513	-.047993168	.065433167	.072759934	.11911114	.24523966	.062215257	-.15037975	.12272377	.11633665	-.1392915	.020184355	.16699393	.19998787	.040177222	.017427554	.026182679	.079602875	.3068248	.37202173	.11099915	.005496881	-.17539616	.25499997	.11117064	.37431037	.071279824	1.587357	-.0682033	.67264277	1.1294155	.30078495	.47922108	.56776863	.69087088	.29977286	.65424848	.23856166	.5907039	.27869231	.37390217	.15096626	.3935861	.28489351
.31697336	-.21979305	.19542199	-.10959773	.38204932	.11639249	.012972604	.3623215	.11663864	.055484433	.19968748	.33141086	.13074489	-.073985875	.08787179	.15594055	.17149019	.17727655	.17306282	.20968416	.76353812	.080483913	-.01064299	.09582749	.30058211	.45103642	.046233296	.031779289	-.049505107	.53404534	-.058090404	.021702511	.17040071	1.0671546	.36851767	.77044207	.69695765	.56217051	.3988708	.5690642	.36244383	.68115467	.23616038	.2701067	.37661496	.41521958	.49002886	-.074770495	-.20339768	.258899
.18263026	-.11478824	.19175306	.048480835	.19016391	.18214336	.047586739	.15666066	.37128419	-.32128823	.16547081	-.027324116	.11548112	-.06111116	.048609585	-.065825492	-.08334332	.1229147	.14839835	.32499871	.43276131	.12454218	.40804392	.10736088	.23817903	.37163806	-.09217532	.088887148	-.0055958922	.59590453	.44110242	.34265265	.28572953	.7054897	.078258596	.55171156	.61123431	.15758157	.43076062	.73333937	.072962366	.48824504	.20434543	-.0034293574	.47373357	.24562781	.21765685	-.27713603	.47271666	.1187444
.24908963	-.08428026	.31386277	-.19162369	.094618291	.058182985	-.025581088	-.007049873	-.056705181	.096765295	.025957573	.30810767	-.0026828365	-.064491205	.057597477	.092479251	.011668867	.052624926	.021000082	.15970266	.16995171	-.041805685	.19794066	-.0010695003	.18667333	.12367944	.11669268	.17651588	.03337229	.63066149	.61510974	.40955564	.1406471	.63527429	.18800908	.26664594	1.2812865	.065321222	.40211496	.8119005	.14145848	.18777014	.17258993	.21708554	.40037894	.41380751	.16832954	-.17724198	.50559223	.18601029
.33354092	-.15803188	.36660999	-.19542348	.3204906	.11594578	-.062927239	.27861068	.076382793	.10471103	.29097888	.17302409	.14676641	.021763135	.095010109	.17524354	.08027935	.24433595	.2343114	.26394266	.1251581	.21095632	.54704207	.17845236	.026838748	.86896878	-.03939911	.36647278	.08192879	.37951031	.60827249	.42432833	.070453838	.67912543	-.028708221	.38578361	.27868962	.37973422	.93095863	.49903885	.061918344	.85434407	.11828559	.30802709	.43785405	.60181522	-.063413396	-.22555968	.16242361	.041175179
.34235817	-.26479182	.19430244	.29554701	.21898359	.14049847	.066371314	-.041726157	-.021794487	-.10204575	.047335047	.31700274	.051557109	.085484609	.10333622	.14584947	.10669629	.038186546	.17341834	.081078492	.018184494	.1701566	.7104249	-.012448728	.12378125	.35247463	.11823528	.21242978	.26415381	.08124879	.2651529	.17776452	-.01843928	1.2577029	.0054443227	.28488636	.56391305	.45749906	.65949386	.13980247	.16460006	.042210456	.13791975	.19151932	.19038193	.66486382	.089666411	-.49242818	.20314443	.18431774
.11545755	-.3937313	.21058658	-.34215117	.21959589	.19986497	-.039932448	.16219117	.0057472233	-.073249429	.10605418	.10445797	.11360978	-.062394593	.026334045	.11467646	-.030407526	-.084548406	.0083616292	.2259243	-.2462212	-.031923793	.67396641	.12666126	-.11386281	.69726723	.016212245	.2047981	-.12415271	.36508945	.28177184	.070353039	.36171013	1.0389775	.032980807	.73515278	.57679462	.21642315	.56055939	.65163445	.30190936	.22387883	.070318401	-.00038806474	.19506122	.23835829	.39800516	.027602771	-.3255251	.70673335
.23466361	-.25011465	.0073982407	.35062349	.34820631	.15754712	.021033427	.2820619	-.015582598	-.04920654	.10871258	.36419147	.05127025	-.032620184	.14554828	.08377856	-.03906665	.087001696	.18027097	.30173627	.36735892	.05296813	.58972299	.049210705	.017452836	.25834727	.0020935554	.60402071	-.065445855	.19853134	.45621684	.21089625	-.15325157	.99354661	.10286529	.5959636	.089468844	.36192238	.50221729	1.2184356	.48508498	.34780702	.2339796	.26683491	.28784224	.41552502	.15445389	-.12820585	.50759268	.0074312296
