BS5_1	BS5_2	BS5_3	BS5_4	BS5_5	BS5_6	BS5_7	BS5_8	BS5_9	BS5_10	BS5_11	BS5_12	BS5_13	BS5_14	BS5_15	BS5_16	BS5_17	BS5_18	BS5_19	BS5_20	BS5_21	BS5_22	BS5_23	BS5_24	BS5_25	BS5_26	BS5_27	BS5_28	BS5_29	BS5_30	BS5_31	BS5_32	BS5_33	BS5_34	BS5_35	BS5_36	BS5_37	BS5_38	BS5_39	BS5_40	BS5_41	BS5_42	BS5_43	BS5_44	BS5_45	BS5_46	BS5_47	BS5_48	BS5_49	BS5_50
-.22609417	-.46491972	.18868105	-.37747887	.019077621	-.11249854	-.20453638	-.40019467	-.17964007	-.1451501	.10440795	-.02916519	.041745797	-.010389337	.10753844	-.17920819	.017886952	.0015891207	-.072198354	.10144626	.21076323	-.22803795	.51193416	-.11097977	-.43388391	-.48525339	.058984309	.1486219	-.013654071	-.29006603	-.088833161	.070553273	-.021326426	-.37330195	.05462591	.36568779	-.043235686	.094690301	-.27677202	-.4385539	.1240908	-.090705045	.067720696	.43895045	.032934163	-.065583654	-.26772907	.43290144	.13713937	.49558151
.1499667	-.25260037	.27563033	.43201372	.20304683	.14507924	-.045921218	.050000202	-.31801951	.017885147	.055676959	.16967662	.1287159	.29513916	.075407282	.093940876	.011830852	.11071284	-.11647771	.15538467	.32333407	-.079908207	.31678274	-.29909834	.34271085	-.4303748	-.031364165	-.10228103	.28591883	.12131108	.20831002	-.14411865	.11135787	-.46330968	-.38947937	.19843218	-.046870757	-.073745146	-.18219826	.14712512	.64945424	-.69343072	-.019683715	.28801629	.35247675	.24315411	-.2336811	-.037330765	-.65812588	.0075481418
.10854942	-.20582645	-.022278251	-.21941969	.1128014	.10256659	-.1144721	.0044963858	.19954862	-.25535628	.021499084	-.026708679	-.025754059	.28314018	-.037679296	.15338799	.18361078	.097241022	-.044232275	.28381655	.19646385	.041513458	.44704708	.020499261	.59552139	-1.0338471	-.05738486	.052861199	.21537597	-.21284842	-.37041226	-.051252097	.0074538123	-.06302388	-.22325373	.040221833	.26296824	-.25764793	-.060444456	.20829591	.059628006	.13446112	-.26583529	.12289816	.11632301	.35380697	.22789304	-.22031091	-.023609566	.1137422
.21085377	-.64218801	-.13945654	-.32200059	-.053897996	-.041920699	-.13246003	-.2053484	-.10948513	-.34415877	.026436193	-.082584813	-.10180344	-.15500346	.20733	.0060691345	-.027660018	-.074411869	.029729411	.13665536	-.20704478	.0052910591	.61540949	.41001582	.48981813	-.089886963	.38066813	-.065568946	.12162773	-.2136209	.12264874	-.061118558	.057718728	-.41454983	-.17112397	-.16039133	.34036413	-.02296062	-.13273847	-.33400032	.089730278	.66080916	-.0079820836	.36236352	-.16633885	.18497631	.031292528	-.026946018	-.13668837	.26234609
.28555498	-.56758761	-.046325337	.080641262	.098052979	-.10040196	-.12541084	-.089348242	-.050504897	-.11071257	-.012081508	.026982192	.028884051	.17072925	.36463219	.069457971	.15079674	-.059313126	.062435102	.13354024	.0062799132	-.067910053	.43284425	-.11883184	.35858488	-.13563828	.056397084	.13368343	.11803313	-.12433491	-.14175546	-.066977739	-.061994184	-.26722634	-.27696213	-.075824507	.23517936	.082664862	-.31543091	.046542879	.32282463	-.28750962	-.024613433	.34369302	.076843522	.14296904	-.18830651	-.20530076	-.039372582	-.52999645
.37973815	-.73687989	.16996016	-.1541062	.325059	.25104451	-.18665506	-.36602029	-.060076777	-.11010841	.16422614	.11577867	.10777239	.17494817	.16620022	-.098237164	.34184477	.050363854	.038296457	.42049831	-.32676631	-.029467296	.20917161	.073633939	.91401827	-.32656333	.078261368	.068370976	.046372242	-.17144105	-.41867569	.43475986	.066658959	-.095278345	-.4049632	.49321955	.17564283	-.11738635	-.1005226	.069496475	.27079004	-.99756479	-.10219148	-.11720961	-.01799231	.098580636	-.040058151	-.11145828	-.1818946	-.38256565
.052562345	-.586285	.4374302	-.32858932	.05147453	-.22916673	.031948399	-.012018524	-.37861085	-.28171074	-.026198901	-.168154	-.064756371	.019220205	.025047848	.11482041	.060977988	.16925094	-.087627113	-.089016363	.40681326	-.22963765	.14281407	-.14579262	.58905262	.2183359	.14562914	-.04057375	.13556555	-.1136776	-.15268481	-.43986249	.12540865	.31190315	-.3453131	.12589644	.17323373	-.059175219	.12298349	-.52114677	.019909276	-.55117482	-.12046792	.43725553	-.061559185	.17507851	-.1363264	.079163313	.094202116	-.40695131
.015008288	-.19584638	-.33254355	-.2107008	.078025423	-.0011330767	-.27281499	-.095517658	-.56713372	.12300902	-.026525367	-.0092708562	-.018989582	-.077146225	-.081222929	.0047575929	-.0080809547	-.07671804	.10635295	.13983649	-.21988522	-.030059231	.071972832	-.20348015	-.12603782	.0083481576	.12797774	.12058108	-.013619295	-.039561398	-.014864337	-.039151046	.21813382	-.38317305	-.21953224	.20914868	-.1752699	-.18711224	-.28485304	-.20020206	.097937785	-.23536053	-.0037565818	.5232721	.14951886	.077152558	-.038459651	.47945067	-.047770154	.89453071
.136508	-.43397629	-.11673152	-.29185349	.091480769	.19295929	-.080555446	-.014731906	-.50787544	.05457978	.030779533	.098677881	.051550552	.23701575	.16797423	.08269497	-.018034866	.0083499448	-.01196691	.17053778	.038089432	-.07599774	.32337087	.044096295	.1218568	-.021774929	.11644181	.14463101	.1866165	-.085526794	.045743931	-.42498344	-.011080485	.098470151	-.10793098	.62980348	.03813339	-.1121853	-.17381413	-.21483257	-.24518889	-.51958686	-.15525773	.43791464	.088827685	.72339457	.18512081	-.070906542	.018125638	-.37546432
.29277238	-.51475984	-.21047646	.42681682	-.027788537	.085771188	-.18090889	-.10078429	-.46281195	-.13950223	.020908387	.059308592	-.013891286	-.079388641	.024174729	.096672155	.020933162	.00090619299	.15939075	.065966479	.093415335	.10151751	.15775412	-.019103058	.40986228	-.99644279	.083071582	.087831981	.12947455	-.016687427	-.0015901302	-.16491538	-.025939148	-.14902511	-.19575539	.20442127	.22526203	-.20551147	.053117204	-.090010613	-.16154468	.28659853	-.021210723	.18128136	-.19190417	.020018609	-.32049444	-.36905444	-.13501573	.18418086
