BS4_1	BS4_2	BS4_3	BS4_4	BS4_5	BS4_6	BS4_7	BS4_8	BS4_9	BS4_10	BS4_11	BS4_12	BS4_13	BS4_14	BS4_15	BS4_16	BS4_17	BS4_18	BS4_19	BS4_20	BS4_21	BS4_22	BS4_23	BS4_24	BS4_25	BS4_26	BS4_27	BS4_28	BS4_29	BS4_30	BS4_31	BS4_32	BS4_33	BS4_34	BS4_35	BS4_36	BS4_37	BS4_38	BS4_39	BS4_40	BS4_41	BS4_42	BS4_43	BS4_44	BS4_45	BS4_46	BS4_47	BS4_48	BS4_49	BS4_50
-.018053144	-.72864556	.20256346	-.71497315	-.06936013	-.04857729	-.40651336	-.075880796	.95176202	-.824507	.037820131	-.12232106	-.068659104	-.052697752	-.27388018	.1097056	-.55201888	-.11628173	-.1541743	.029664174	-.27401775	-.23931302	-.40044823	-.10917481	-.41341326	.26761648	-.25163269	.048864137	-.37059495	-.11089428	-.41179869	-.022690628	-.42597616	-.27869308	-.34381589	-.36501932	-.1426073	.46033508	-.24351929	-.041462414	-.12601855	-.56467146	-.37669951	.27226427	-.45503411	-.17831233	-.48929906	-.64243972	-.013593551	.23878115
-.053028297	.16449086	.2085585	.20884433	-.0074612056	.61141628	-.15098737	-.093428165	.16530424	-.8764509	.12809631	-.13712405	.21986806	.13562253	-.1901703	.10854493	-.42269135	.11216047	-.24138004	.11804297	-.80346388	.10025148	.17749307	-.28216136	-1.0420058	-.10548579	-.056323573	.03451632	-.092259966	.29207689	.026748281	-.57462442	-.1056966	-.083903424	.029466635	-.1792341	.071386211	.074125901	.035831198	-.16029534	.55999166	-.99269098	.066802323	-.72358513	.9026109	-.01197501	-.40705395	-.59433198	-.13515143	-.064712211
-.059856959	-.015809029	.039231122	-.37252694	.053412195	.47917718	-.26880023	.1242402	.5883128	-.82660085	.16982239	-.044617902	.24227722	.10173632	.02663503	.11895597	-.13678712	.15269408	.013730234	.081549391	-1.0533384	.21677497	-.20545344	-.97434044	-1.8265529	-.30937311	.077920176	.064772554	-.035835654	.20412008	-.5172357	-.58123261	-.21309672	-.093002863	-.20721599	-1.1128852	-.069142148	.24548689	-.11230569	.14869039	.11736511	-.52463013	-.39281949	-.10056015	-.60976136	-.37977722	-.14726183	-1.1773356	-.45052475	-.43103519
-.887164	-.66077864	.31426701	.81457901	-.080462888	.087967619	-.6257863	-.017677406	.36571231	-1.0618625	.003743036	.1743125	.086252116	.22680742	.12039617	.23794277	-.48762912	.19013686	-.062082622	.22021113	-.22645493	-.19134538	1.1158584	-1.1462159	-.3194994	.30928147	.12195348	.033743344	-.17843026	.14159589	-.67344534	-.35489181	-.053312734	-.14109619	-.32218954	-.14520971	.56090701	.037399415	-.083489589	.54113156	.3684305	.18906198	-.2025499	.17478681	-.52332962	-.091379255	-.20959178	-.53919268	-.42254543	.64780468
-.23876511	-.62330687	.38665324	.65952283	.16604109	.079090074	.35324889	-.12192143	-.61695176	-.61088753	.049681779	.042313147	.1916393	.21324275	-.27496302	.15212782	-.53773808	-.12727101	.012032668	.087119311	.081488773	-.13670525	.30571112	-.10616431	-2.0691264	.34135702	-.070349075	.075646766	-.250774	.48080891	-.58077317	-.30750483	-.26797396	.63345498	.069333389	-.28478631	-.70755315	.18215574	-.10256362	-.17292264	.44717076	-.8819865	-.079193346	.25808117	-.27101719	-.3610763	-.53160185	-.12577589	-.31506887	-.39858493
-.37234673	-.59069788	.025745384	.60856229	-.21276698	.10066786	-.45098585	-.3515839	1.6130714	-.099370182	.097452521	-.17681062	-.015232443	-.071499996	-.1081759	.13430278	-.025055455	.19233842	-.044960711	.23699622	-1.2993923	.033278216	-.014159476	-1.0906135	.56105357	.3385624	.34287116	.031965803	-.30416912	.1296569	.054866187	.031785149	-.48624304	-.36539233	.3226521	-.79101652	-.62603205	.63197279	-.1259526	.061527397	.12741345	-.86305213	.23798835	-.32221258	-.55965114	-.26870453	-.1049667	-.11565857	-.35904938	-.30666199
-.27188709	-1.4819547	.15959048	.48238707	-.15404023	.030527787	-.25078747	-.095634297	-.16538918	.5213058	.034780391	-.21271497	-.35877761	-.24799378	-.21491605	.12972809	-.38612089	.080281384	-.054880958	.36761972	1.055554	-.065445632	-.077583261	-.88136303	-1.1364906	.4713968	.067270599	.14780356	-.29234359	.15979844	-.49011034	-.030936928	.40508509	-.31808561	-.015771853	-.10371502	.43579513	.33805531	-.11111511	.095216334	1.0646713	-.78444415	.061775587	.34701726	.83438283	-.47789767	-.20567323	-.31623992	-.22626521	-.20698152
-.43523118	-.52281767	.29861528	.4060576	-.10173938	.68200743	-.2857635	.025937812	.33744314	.26838413	.23333116	-.22260019	.34752226	.27067438	-.23110332	.25322008	-.18891914	-.18622111	-.10728352	.21515258	-.1081195	.38314071	-.70553154	-.01437897	-.58164507	-.12808163	.6047706	.13957724	-.16950089	.23165184	.16069296	-.26052865	-.030660756	-.7547521	-.67082733	-.20540047	.57515812	-.0033613653	.31379932	-.33618397	.046363309	-.93579197	.41584337	.18056715	-.662431	-.2919355	-.9387821	-.72534895	-.18280376	.057161745
-.50085938	-1.4329053	.274602	-.53167671	-.014194607	.67367858	.18864408	.026610127	-.58702868	-.86530185	.040494222	.0033513894	.23511976	-.022109067	-.26186457	-.029785631	-.32365248	-.23913564	-.13475399	-.060793351	-.14493635	.076293841	-.36822242	-1.783838	1.1027188	.61159986	.018347431	.1386078	-.057042766	.15006466	-.67336792	-.41750109	.07641352	.073132232	-.21169505	-.86799204	.40755942	.12345081	.17623784	-.19104558	-.32639042	-.77975976	.12150983	.38624454	-.41543248	-.37091845	-.3251209	-.45492917	-.13484679	-.17471588
.15189806	-1.061152	-.61339474	-1.5379186	.16709815	.58972287	-.18396702	-.076122716	.5029549	-1.4135101	.12196578	.12427296	.31907961	.2393396	-.14606704	.22821437	-.24764007	.19746238	-.080414772	.082687356	.28794783	.15032646	-.35091841	-1.0375112	-1.4764531	-.022818157	.17908914	-.13249695	.072631717	.50608736	-.18784335	-.46050632	-.032669343	-.42151672	-.33503529	-.49704006	.065200411	.4551152	-.054604303	.32022604	-.073867597	-.52169108	.23417829	.015005515	-.40662152	-.10554715	.00013807947	.021118263	-.27159068	.92436087
-.36184594	-.22073115	.35620046	.77551556	.31076059	.53302377	.45477691	.25920498	-.15744826	-.31392744	.19148718	.12362509	.29761007	.5701583	-.25620192	.21898846	-.22088555	.1642798	-.094757445	.11522438	.099884927	.43832201	-.65205151	-.24065973	-1.4646294	.29023576	.17994595	-.0095780175	-.38323185	.065203644	-.36040646	-.54269898	-.30434155	-.52736759	-.3570053	-.52684999	-.26303244	.43541113	.31723556	-.027013293	.7297954	-.37236273	.083608165	-.62315577	-.77649349	-.50825602	-.3753458	-.89285052	-.30006534	-.077707194
