BS1_1	BS1_2	BS1_3	BS1_4	BS1_5	BS1_6	BS1_7	BS1_8	BS1_9	BS1_10	BS1_11	BS1_12	BS1_13	BS1_14	BS1_15	BS1_16	BS1_17	BS1_18	BS1_19	BS1_20	BS1_21	BS1_22	BS1_23	BS1_24	BS1_25	BS1_26	BS1_27	BS1_28	BS1_29	BS1_30	BS1_31	BS1_32	BS1_33	BS1_34	BS1_35	BS1_36	BS1_37	BS1_38	BS1_39	BS1_40	BS1_41	BS1_42	BS1_43	BS1_44	BS1_45	BS1_46	BS1_47	BS1_48	BS1_49	BS1_50
-1	-1	-1	-4.650929	-1.5742021	-1	-1	-1	-2.0057666	-1.7211771	-3.7680194	-4.3428359	-3.7066629	-2.551388	-1	-2.6295805	-9.5860901	-6.4215636	-10.829353	-5.7368236	-5.8281183	-5.2382846	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-2.5683589	-1	-9.5390148	-1	-2.227561	-1	-1	-1	-1	-4.9965448	-5.5962224	-4.9820976	-1	-8.531724	-2.248769	-12.599017	-7.2910995	-11.283735	-4.4486871	-5.1915717	-7.8474689	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1.1719979	-1	-9.1446753	-1	-1	-1	-1.1425444	-10.217457	-1.5241677	-1	-8.4675732	-1	-1	-1	-1	-1	-3.1981077	-1	-3.083859	-1	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-2.1532609	-1	-13.662436	-1	-1	-1	-1.2448753	-4.0141525	-2.633214	-1	-11.66581	-1	-1	-1	-1.0583385	-1.4103214	-1.0684733	-1.7989137	-1	-1.1994641	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-3.6402385	-1	-1	-1	-1.6460025	-1.3974891	-1	-1	-2.5793941	-1	-4.9344077	-1.2069408	-1	-2.6871505	-3.9864068	-1	-9.3492079	-1	-1	-7.1885471	-1.6269988	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-1	-1.4155611	-1.3448477	-1.4440168	-1	-1	-13.33122	-6.1347594	-4.0244884	-6.59373	-3.5833642	-1	-2.4939733	-1.7749323	-7.2693043	-4.1786904	-10.565248	-4.7826614	-1	-4.5522199	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-5.0503674	-1.3432169	-1	-1	-1	-1	-1	-7.6774287	-4.7613182	-1	-5.5594592	-1	-1	-3.2836454	-1	-1	-1.2640319	-1	-1	-5.2698584	-2.0601375	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-1	-1	-1	-1	-1	-1	-4.1733747	-4.0581455	-1	-4.4981346	-1.2888471	-1.5697894	-6.9692388	-1	-1.1940932	-1	-1	-2.1875234	-1.8628503	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1.2463166	-1	-1	-1	-1	-1.5429695	-1	-7.3167577	-6.6656532	-4.218514	-2.9158447	-2.0228605	-1.1699445	-3.8697796	-5.0261216	-10.392045	-9.2186642	-10.173891	-5.7450161	-6.5274272	-6.0158114	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1.783924	-1	-14.390996	-1	-1	-1.5862433	-1	-4.5306568	-5.3865943	-3.2830896	-2.0710356	-1	-1	-1	-1	-6.1573391	-1	-3.1698086	-2.8517241	-1	-2.4722049	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
