BS2_1	BS2_2	BS2_3	BS2_4	BS2_5	BS2_6	BS2_7	BS2_8	BS2_9	BS2_10	BS2_11	BS2_12	BS2_13	BS2_14	BS2_15	BS2_16	BS2_17	BS2_18	BS2_19	BS2_20	BS2_21	BS2_22	BS2_23	BS2_24	BS2_25	BS2_26	BS2_27	BS2_28	BS2_29	BS2_30	BS2_31	BS2_32	BS2_33	BS2_34	BS2_35	BS2_36	BS2_37	BS2_38	BS2_39	BS2_40	BS2_41	BS2_42	BS2_43	BS2_44	BS2_45	BS2_46	BS2_47	BS2_48	BS2_49	BS2_50
.60744816	.1411916	1.3107858	.39606038	.46915835	.15429926	.2108435	.40772322	.25813463	.11450908	.37666452	.5468632	.26375735	.21860906	.31603518	.16962944	-.0058071869	.24943088	.23159167	.23692179	-.091218427	.085292742	.66713578	.44879481	.3477208	.40566427	1.2225682	.52724844	.62487447	.90705866	.46821281	.50977761	.55622971	-.14964642	.33208698	.63394618	.95915973	.26905978	.73277587	.72048467	.034971491	.55207223	.035445631	.28177014	.2397541	.3530618	.1606508	.36597678	.23531803	.24172534
.58205128	-.093377933	.87171656	.95636666	.41968161	.02737435	.02882727	.37606567	.094642341	.063599139	.30394036	.54642677	.25483346	-.010565694	.26663727	.093914896	.13332734	.076499566	.15858391	.29933763	.093522109	.12590103	.48320878	.19632469	.29948103	.25900626	1.0330536	.441605	.82501417	.38916072	.055283681	.70990491	.38682196	.25582978	.48462021	.60086572	.37848786	.30464274	.9106456	.74710727	.10840446	.34979808	.20938098	.27178845	.16909292	.58764857	.30124786	.68861187	.53272724	.2745147
.46108425	-.018310178	.68685663	.49948841	.47042173	-.15714926	.0059502716	.19631584	.2971524	-.13370885	.31066412	.44136852	.17329367	.040449485	.26625073	.14939238	.2705127	.27808753	.15397021	.013825619	.097776189	-.08070188	.55456674	.50474268	.49235511	.6702258	.29436263	.68750936	.47452545	.75953543	.70774108	.95214492	.3558329	.42534748	.14026672	.31661054	.81596446	.22506881	.55201513	.71659833	.16055109	.36947191	.26172823	.48941666	.14136267	.3213118	.4614338	.43378389	.25639778	.46029219
.75504094	-.17118914	.40274766	.092205659	.75019193	.082075968	.20948821	.45181993	.26979211	-.11668196	.42321149	.54728371	.35094044	.24130569	.17800517	.1016971	.27069309	.21239154	.34001663	.30178303	.046273265	.093942307	.35279039	.3897109	.35707191	.40947005	1.1113774	.77322376	.65000862	.81011999	.31201228	.47399497	.40012893	.50603288	.49256626	.35181224	.52042836	.45482162	.62064308	.66830063	.34059763	.30468473	.10423798	.38251388	.28856474	.50971192	.24771084	.29251194	-.020547459	.38323686
.45704427	-.27136001	.65098256	.31236133	.36610165	-.096890062	.069662474	.3740707	.16466083	.24691083	.30272031	.39873728	.27466005	.063289486	.29007325	-.090653762	.16253158	.015004951	.2321886	.38403779	-.24573629	.15926214	.15787601	.36489835	.51762331	.32725909	1.0998441	.44246972	.63005602	.84235042	.831249	.81077254	.55524814	-.00039238125	.072862297	.43646178	.24288681	.16352442	.74440718	.65680879	.19851425	.17328735	.48034376	.20268598	.036238696	.35114592	.31605154	.11124314	.29624912	.82042992
.55764419	-.034354769	.47647545	.28226152	.33498704	-.041739531	-.07102263	.29874948	-.069429889	-.018210968	.30276284	.57413965	.16313085	.0055512562	.23031205	.26939136	.36650664	.38623905	.13630678	.12778601	-.029107207	-.069873579	.76123267	.36221465	.33098209	.67622584	.39169642	.54099429	.16491766	.80330813	.92990512	.85408396	.31996444	.066877797	.13523315	.55718946	.33704504	.2630575	.45999408	.90895247	.1100179	.75960863	.098556049	.4189001	.23853315	.4065654	.38318145	.21151911	.72794783	1.0413494
.67043507	.23006131	.60200298	-.050536871	.73931128	.20113125	.082415961	.51002979	.33633265	.1523494	.49497041	.6844812	.26921645	.27346477	.25291872	.217897	.23806669	.24639127	.36634818	.25361392	-.089553922	.28856665	.13153502	.53667772	.16480252	.56683338	.22456996	.4857842	.38002869	.90553468	.68908626	.67040581	.37756118	-.16044542	-.072503284	.47706291	.43947613	.19206262	.93541688	.49571055	.33649683	.19657032	.23086883	.48315883	-.064762145	.445638	.069583111	.37915865	.0020300753	.24048296
.64986831	.18874358	.79783005	.33654645	.49204654	.20364226	.18198895	.31973711	.12039997	.041688144	.40795225	.57839429	.30128241	.23662999	.4493053	.29363212	.40111247	.39265737	.31121087	.11044325	.24633329	.31936044	.21038255	.30834305	.49442559	-.1418893	.46180207	.44372532	.36697218	.6832884	.46967089	.71004695	.30939561	-.16213222	.014314861	.51659662	.62367761	.33928937	.94465727	.73478705	.2847192	.42804036	.079108931	.47207147	.20437562	.36911902	.3326692	-.088809714	.47310153	.27745563
.39438781	.0087381369	.82745808	.420679	.44234207	.018303882	.055403225	.31808859	-.0071642818	.043420464	.29069868	.61899936	.25287536	.072224505	.091615394	.25430793	.17687519	.21509194	.17441709	.15883383	-.073903456	.018476631	.50790912	.50789917	.38046873	.45818576	.25766632	.53456289	.60891587	.86939394	.54069924	.6613571	.35027787	.055673264	.12096822	.53453624	.37367883	.20536107	.70429623	.51450837	.15423435	.45749483	.30023131	.45734951	.2514686	.51403993	.26414433	.41772443	-.060267124	2.6014304
.84053653	.25407815	.68347329	.77164447	.82544321	.27305749	.19060262	.50136811	.023240656	.25273928	.55327588	.66250038	.46380502	.12912735	.3505176	.18042476	.010487865	.37055072	.36421877	.49767435	-.033872921	.21461193	.061132781	.34376422	.46961945	.21904722	.86903965	.6216144	.90327144	.69968873	.60081184	.56709141	.25638476	-.092094779	.19906938	.31419826	.30962333	.40981194	.42770475	1.0880314	-.00234824	.53576267	.12321639	.41982469	.25316221	.39098224	.11770579	.070960253	.38289461	.90261114
.50225592	-.37424791	.56978017	.72943693	.6617977	-.21943828	-.017596206	.26753977	.18072517	-.50546014	.24760902	.6924091	.1948805	-.050941247	.14924639	.20448358	.17523783	.1881969	.17879702	.18075302	-.028782601	.066286989	.2788066	.44996995	.28662747	.26594964	1.0268152	.50960678	.61586833	.68939149	.33007702	1.0264254	.75253862	.10732154	.43798128	.4610585	.6698873	.17907034	.6981113	.74033153	-.26347321	.41051641	.13839841	.15663272	.17816941	.59241414	.34808037	.11748246	.27426487	.46206665
.77030081	-.029969553	.42962593	.42070878	.39798269	.19761494	.11367824	.36215216	.12841997	-.10294771	.44782808	.59257627	.22713919	.096228734	.24472462	.28438306	.21112946	.39548022	.12857068	.25881618	-.0010041395	.075872593	.73105443	.38964695	.66238433	.39089921	.93772787	.34285155	.32000005	.52210426	.6572513	.45237184	.36938938	-.35559702	.17927125	.5123778	.50213087	.21558522	.75915611	1.0423189	-.013204863	.26221028	.033592522	.3780483	.13930798	.63086599	.047587946	.2608515	.055779412	.47652033
.63280469	-.18615296	1.0680016	.32353085	.60135818	.082166404	.12495504	.43372107	-.031202339	.16956028	.34640005	.32903883	.28521186	.14729276	.068234265	.17450233	.2724933	.18910544	.20040026	.29896635	-.02761912	.26213381	.62966508	.39776754	.4872131	.36768511	.32791904	.59106678	.76850569	.82112265	.34040388	.57697815	.73878706	.37359959	.014789885	.29517454	.28305489	.20489666	.73897117	.71914637	.025192311	.61288458	.10063261	.41296116	.1194419	.37043768	.087143086	.16548674	-.24898146	.42770997
.60856986	-.078844681	1.0687988	.69712764	.46577811	.068524763	-.020066194	.39192921	.038336862	.10258919	.28624198	.35875431	.069267988	.13097575	.10259009	.059550006	-.02203314	.22931455	.21058606	-.068676904	-.48426577	-.017052157	.47550899	.18382974	.3554329	.5801118	.10130087	.52455401	.50877517	.80288494	.38460651	.87644547	.35738543	-.17996106	.15889405	.14242105	.39386478	.27960923	.48514271	.72454494	.28337386	.29337054	.20537145	.28267843	.16185755	.61320186	.25392762	.10770638	-.0050626686	.63846469
.42719913	-.176967	.31770301	.14355183	.64422721	-.087758154	.023723869	.28638557	.17483534	-.024108538	.33959275	.35254189	.14125529	.10099538	.06040816	-.062301632	-.12641641	.010534478	.08524555	.10690363	-.38078693	.057104807	.34342504	.2093467	.36940718	.67805696	.26930979	.53937739	.37782449	.69004285	.41685349	.28068939	.26610026	-.14211139	-.24338357	.64613754	1.1445153	.12268224	.88477045	.91665483	.0066576335	.37336969	.30778036	.39030272	.26152036	.46528587	.36029199	.35763186	.060615495	.24239658
.55204612	.042811587	1.4573673	.94517553	.49044603	-.073203668	.063940808	.23208426	.2103525	-.18190058	.38199988	.31061766	.26621109	-.0010871113	.18096276	.17127746	.17953618	.31455272	.21084091	.079245433	-.18688938	.0022489242	.60678446	.33674058	.45712194	.21906887	.93868756	.49639222	.67621005	.71639597	.38920143	.6935457	.58164239	.045283273	.087584659	.32667094	.29165933	.11699375	.91750634	.89670283	-.31094101	.41839921	.2892406	.34117812	.19904688	.41980752	.22343393	.54793113	.3814584	.17822538
.47382891	.098254137	.94432259	.72751826	.68499488	-.11165072	.045440659	.29563105	.15325288	-.1311055	.34467971	.57875139	.28651369	.091485381	.35856938	.1953218	.2656278	.35774705	.25018409	.35830563	-.13478114	.24426809	.44037789	.32654262	.3737987	.58379799	.42464542	.56045228	.94479311	.74247968	.41555747	.89893705	.36160806	.53462261	.56776637	.56469244	.22433405	.46532294	.63654578	.54466796	.16395396	.37221983	.44192186	.13673386	.15515523	.37328514	.46110326	.40668231	.22021821	1.2126765
