BS6_1	BS6_2	BS6_3	BS6_4	BS6_5	BS6_6	BS6_7	BS6_8	BS6_9	BS6_10	BS6_11	BS6_12	BS6_13	BS6_14	BS6_15	BS6_16	BS6_17	BS6_18	BS6_19	BS6_20	BS6_21	BS6_22	BS6_23	BS6_24	BS6_25	BS6_26	BS6_27	BS6_28	BS6_29	BS6_30	BS6_31	BS6_32	BS6_33	BS6_34	BS6_35	BS6_36	BS6_37	BS6_38	BS6_39	BS6_40	BS6_41	BS6_42	BS6_43	BS6_44	BS6_45	BS6_46	BS6_47	BS6_48	BS6_49	BS6_50
.20407432	.40551198	-.038163006	1.1484108	.14071263	-.097848296	.023057094	-.02495263	-.24119686	-.028283933	.10519849	-.021882821	.095173784	.083187714	.24918717	.001218309	-.15393919	-.14457454	.064767033	-.12492671	.010227609	.16658996	.12650508	.13907106	.20648347	.38264698	-.84851301	-.17518103	-.15182896	.5246852	.36982912	-.22431755	-.21548785	-.0087195234	.072112337	-.50998801	.21215869	.29238775	-.064156294	.72031486	.73290664	.33667392	-.20635025	-.13025464	-.01754182	.25706518	-.43760607	.15442716	.61752409	.02760152
.0087432107	.4672215	-.089918576	.74550283	.20211399	-.089521185	.10399149	.034305081	-.068568535	.095568031	.11144962	.10003503	.10715496	.16499762	.086766072	.21873921	-.18525687	.23201935	-.016860424	.13860054	.17095289	.039150871	-.0061698416	.34547788	.18887073	-.20864314	.051925164	-.2159276	-.2875911	.22141375	-.21363476	-.24313849	-.3316848	-.3043251	-.013933849	-.6264053	.22969902	.25651813	.029109435	.73453969	.51392454	.50849098	-.062773369	.096175224	.20444743	-.05853413	.18159221	.08296787	.19748507	-.14223979
.11500405	.66699743	.013320196	.77061754	-.1164832	-.083714239	.12700523	.11301152	-.077080682	.54658067	.12158535	.40607613	.033236284	.1527652	.051113024	.096358851	.065087751	-.046883553	-.029545633	-.25675541	.19519021	-.035047527	.49670273	.19103074	.044258036	.44389823	-.047132153	.053525541	-.042419001	.04419224	.1105506	-.20642404	-.09417443	-.33615223	.14475337	-.66303104	-.30147263	-.082806282	.22151357	.39767009	.3067053	.34406266	-.042973597	.00289272	-.037883345	.21618442	.06016887	.18920818	.68262744	-.25037903
.24718474	.61767989	.53561199	1.0923954	-.063728467	-.051740795	.17757766	.018392438	-.21726911	.39173579	.22468652	.13819425	.037863441	.18765442	.2626099	.2347755	.0097101228	.056291752	.077444613	.0013576242	.24117617	.12731519	.13073255	.61664617	-.067888744	.060243338	-.29420781	.28264779	.072144367	.50937855	-.31998348	-.0014976483	.025151012	-.11510116	.49140906	-.13635695	.34868571	.30241409	.051239986	.47296324	.50684458	-.47799712	.059858523	.029528266	.0037447112	-.10309645	-.45013663	.28376502	.015083334	-.13198666
.12386982	.20915882	.26833469	.57602245	.060386296	-.10731981	.12996158	.13457055	-.49801594	.530092	.021556037	.20198931	.21019675	.1962934	.21374924	.034689452	.030814195	-.030862942	.096350312	.232583	.24878067	.16675057	-.054469779	.51927322	-.067470521	-.20835835	-.021213092	.23143236	.085340843	.1596003	-.16735838	-.10622086	-.11832239	-.24422623	.27564034	-.23286155	.33098724	.16810967	.029367119	.47097012	.46534258	.46025041	.14214844	-.13347979	.068685658	-.0098139923	.071983784	.46985054	-.03013129	-.19969611
.2615464	.3051407	-.079528935	1.2807549	-.085709378	-.22647132	-.037840299	.057925344	-.30253604	.52126956	.074616775	.0017366956	.18258569	.19357388	.41981801	.062095501	-.3129206	.097578973	.12425584	.073268846	.50878036	-.033477385	-.10369866	.20878625	-.12967704	-.21820049	.39647332	-.097234324	-.24202742	.18937416	-.9334079	-.3525598	-.098783575	-.21602516	.1130612	-.49267647	.20362371	.14403267	-.13038096	.17765732	.15761277	-.7313078	-.2511608	-.027540494	-.082086235	.023013279	.065461911	.12814768	.11705909	-.65432966
.16170441	.54848266	.3794845	.47480336	-.032629758	-.17713325	.075101651	.068032518	-.097470954	.58247018	.028906168	.12005986	.030295534	.065085799	-.14085507	.1949283	.022087701	.17627899	-.11582949	.26631734	.50309944	.013636735	-.25470099	.033792086	.2848337	-.1162334	-.085091613	.20805345	-.17409423	.1788217	.53332895	-.13373592	.091384441	-.25776792	.039359391	.27351776	.18389229	.24654567	.015635809	.52000022	.21871017	.048558302	-.20607512	.030569065	.26181307	.38058394	.40946269	.020439476	.28130487	-.28726339
.15983863	.37895864	.13337569	.69870192	-.014166707	-.20737946	.1723825	.064881012	.048164677	.53681439	.048831988	.22097179	.11298313	.19591637	.10513084	.10227221	-.074131444	.09382087	-.090836264	-.26537445	.38218483	.11274159	.16807739	-.15889572	.13542812	.10003171	.22442703	.12547858	-.11651686	.38936388	-.31907913	-.21342272	-.054045681	-.1540447	.21204531	-.28138217	.35991213	.22393855	.034801345	.098211318	.15994629	.38220105	-.12198832	.022390958	.03161221	.34895596	.034140244	.6366421	.6792047	-.15735608
.25568113	.62437552	.19618534	.61256814	.039621975	.090863578	.10491098	.033201374	-.11268773	.11160925	.11591842	-.11738437	.07616692	.24410973	.29422095	.050827548	.0050562508	-.0035806252	.15434511	-.067772515	.50282633	.21857971	-.54163665	.49706584	.14925548	-.30765265	.22608492	.074134417	.082331181	.54592496	-.37282047	-.066238403	-.18511072	.12086343	.29929429	-.61582547	.071893945	.050235555	.10345163	.84684271	-.058490131	-.35028106	-.12645403	.16156404	.090147838	.33991948	-.55607414	.11819869	.64957035	-.15281156
.36032477	.43076044	.3799341	-.045484722	.13611403	-.02363467	.078028664	.02189669	-.21948607	.18235341	.10994313	.14094885	.1424783	.21098478	.17620289	.27267367	-.1284285	.16652988	.068577722	.18075047	.60542816	.080146968	-.063240975	.35823703	.05796567	.10287444	-.61221892	.21752392	-.35091445	.39774919	.49029934	.049828403	-.070766322	-.73507977	-.068455867	-1.0436752	.16079868	.16082393	.2411081	.33160946	.86268485	-.41803008	-.18080683	.095489368	.35408783	.051424626	.34489834	.99310416	.19094066	.17059633
