BS5_1	BS5_2	BS5_3	BS5_4	BS5_5	BS5_6	BS5_7	BS5_8	BS5_9	BS5_10	BS5_11	BS5_12	BS5_13	BS5_14	BS5_15	BS5_16	BS5_17	BS5_18	BS5_19	BS5_20	BS5_21	BS5_22	BS5_23	BS5_24	BS5_25	BS5_26	BS5_27	BS5_28	BS5_29	BS5_30	BS5_31	BS5_32	BS5_33	BS5_34	BS5_35	BS5_36	BS5_37	BS5_38	BS5_39	BS5_40	BS5_41	BS5_42	BS5_43	BS5_44	BS5_45	BS5_46	BS5_47	BS5_48	BS5_49	BS5_50
-.095036089	-.33801669	.083683476	-.34750107	.025540749	-.19467701	-.10173664	-.2388351	-.47997704	.046479985	.073423684	.1076593	.034626685	.25420767	.024894139	-.044699445	-.015792482	-.0032402419	-.021094937	-.22933362	-.23638207	-.063671939	-.3103517	-.42582795	-.27666089	-.13908179	-.10164145	-.11807295	.0026328149	-.30846837	.015762981	-.17104907	-.32701489	.011896358	.10249254	-.70446575	-.0033808791	-.19882138	.052216046	-.068844184	-.95034766	-.14693958	.22788163	.57273299	-.31260106	-.082088739	.22079492	-.083040223	-.083349563	.74996293
-.25510356	-.36489078	-.3049013	-.17124954	.14920597	-.32833248	-.078348048	-.08429233	-.12503058	-.025858851	.098633915	-.029229617	.38399163	.13207705	.29277825	.12822369	-.24412096	.13136928	-.081739381	.1231258	-.10776813	-.55801374	.24729165	-.44955894	-.122657	-.17289616	-.25255701	.029481402	.0055867722	-.26785499	-.16950254	-.25899231	-.070063643	-.066205502	-.4803713	-.47921866	-.046839029	-.20098887	-.38422623	-.35997617	.43129396	-.069915429	-.02732164	.45576411	.21589182	.49087802	.21565932	-.030934907	-.82155114	.16842216
-.035196967	-.20356426	-.42089298	-.4607586	.086401135	-.087420791	.13064735	.0071734497	-.089971796	.019359889	.112998	.12070274	.12903111	.21064042	.054392852	.19485281	-.064359136	.046020497	.039330456	.40822259	.037015989	-.48651573	-.19667542	-.35262689	.24975249	-.56461573	-.31603464	-.016072873	.14953305	-.15948494	-.34512058	-.33505583	-.016241996	.073377229	-.29860452	-.62589645	.1334572	-.5008471	-.07592544	-.098435	.11367861	.053410508	-.012792767	.22598577	.1133009	.24367245	.20969437	-.38361037	.17870195	.72098184
-.036390658	-.36866176	-.062752984	-.71724302	-.029910512	-.068281621	-.19880109	-.062784337	-.22962445	-.30866286	-.065279856	.004930432	.083438702	-.11823399	.18497351	.18491486	.035308268	-.0028642828	.098465785	-.084182411	.06281022	.22543915	.19834983	.2336273	.34931311	-.22417933	.35316065	.20534106	-.080526002	-.21126822	-.054186549	-.43094113	-.55000246	.076910242	-.26696467	.19664636	.34914047	.082513809	-.27657768	-.35555246	-.93257868	.45127478	.077579759	.26883119	.019656699	-.48771819	.28500882	.0044224421	.22301802	.47907764
-.091598153	-.44953391	-.29942471	-.055817463	.10931806	-.063030541	-.12896052	-.20929235	-.12086195	-.49394855	-.01499143	.20401649	.17741144	.049614441	.17875846	.1889035	.073702611	-.06700258	.079659261	.29224131	.11596043	-.019942198	-.38760874	-.55808032	-.42090911	-.22246742	-.066173516	-.10428583	-.029991716	-.1858709	-.56794417	-.29912129	-.50057745	.10671341	-.62416375	-.95561087	-.52680737	-.20889777	-.54262048	.014710746	-.10683998	-.032553513	.000050523293	.54602313	.034200966	.05820033	.020734631	-.16799408	-.090844028	-.036481775
-.16466451	-.14404906	-.76959342	-.32417199	.18979985	.082850978	-.21227306	-.30293781	-.30094761	-.28315517	.026778931	.19192269	.034390073	.11489335	-.0092646722	.08374922	-.0295716	-.019473847	-.052325122	.17844944	-.030169128	-.079220705	-.24060203	.10339263	.062687963	-.37044126	.22934881	-.067388289	-.19476077	-.37813109	-.22326161	-.12877791	-.35965696	.63111949	-.4053382	-.24408191	.29134592	-.18887107	-.24810891	-.24031483	-.20375668	-.057740331	.2235457	-.28842765	.030136835	-.022236541	.12548472	-.17990875	-.25961787	-.47033888
-.11545247	-.18362781	-.17492802	-.93368089	.11453588	.075500146	-.00093667256	-.015930848	-.14920922	.011316303	.0613226	.14285164	.32019582	-.13454135	.21815097	.11710012	.10457057	.16653113	-.19364205	.076093324	-.16616961	-.11959542	.042371217	.079905063	.32571933	-.76984757	.42174712	-.021439191	.067175806	-.29230902	-.065562449	-.73516899	-.41275772	.63378191	-.38689971	-1.0382679	-.23073745	.11015029	.043065801	.071950778	-.4713982	-.051411726	-.2709012	.52050322	.39684793	.36884835	.40647614	-.1031302	-.2186998	-.028051056
.08411327	-.55425757	-.22268522	-.12150184	-.050557289	.103495	.036144231	-.086404473	-.187592	-.41918483	.028260272	.30874717	.16246706	.10823192	.049466733	.1306489	.077386595	-.11825709	.24830274	.13845864	-.51389855	-.18337458	-.25326091	-.45571581	.38213614	-.16421865	.38647777	.053961642	-.051155563	-.12146747	-.18837141	-.23646268	-.46822995	.16863385	-.66265476	-.33816665	-.22182558	-.44474024	-.41516644	-.7430594	.41909254	.055835854	.35651267	.2149771	.34605491	.0073182373	.054247674	.58561444	-.17285866	.76849002
-.0023125161	-.30953988	.059781376	-.38804445	-.059142467	.19892061	.015136802	-.061625145	-.25561437	.4793219	-.0081426064	.36147901	.23422842	.046814151	.33442184	.15605906	.0081578596	-.018895537	-.034717083	.17919485	-.058684651	-.38841587	-.038447507	-.14418314	-.13780707	.21812737	.027346706	.24158041	.095865406	-.23804019	-.43195117	-.55458975	-.37126261	.30877933	-.26042226	-.046578303	-.25286886	-.16095302	-.20707387	-.19908145	-.44746432	-.2070068	.10263944	.49556726	.14316419	.42047998	.18989608	-.11537324	.16225702	-.18816909
.13620003	-.31181294	-.57052666	-.25111413	-.12167923	-.14073527	-.18305933	-.077805117	-.056407303	-.1120581	.053144079	.21989575	.23488201	.070112497	.1819417	.087750815	-.15022825	.18511409	.10324761	.15079413	-.010571754	-.26918826	-.39802912	-.16776812	.1126708	.19857258	-.4518275	.038262539	-.084429868	-.092291243	-.1451956	-.15273012	.12850231	.4198564	.021853782	-.3159889	-.087104641	-.33638364	.016193952	-.067957371	-.30244282	-.23148575	-.052110091	.23378068	.44331089	.18044123	-.10867228	.2144407	-.032040287	-.17682612
.10627636	-.58971524	-.098901093	-.74408364	-.13164042	.08291965	.2070343	-.11373626	-.36042562	.20604427	.10169245	.13316634	-.009635279	.12848696	.030341346	.029068809	.18921666	.017569363	.22181135	.21461947	-.21608853	.067086302	-.31964198	-.31742269	.26863709	-.43898207	-.83541971	.030674372	.17836581	-.15321578	-.051856097	-.055947691	-.04772941	.72963244	-.37081262	-.49206656	.1307694	-.039460748	-.56838214	-.20597896	-.17094038	.2343789	-.22565813	.69112039	.11697153	-.50287414	.24308611	.010027574	.025901679	.010201151
-.13111782	-.20955859	-.071343429	.060008615	.0091071669	-.085643172	-.22191963	-.1182858	-.33401898	.12454075	-.067633174	-.028164547	.19793552	.022810107	.43815154	.094556265	-.1873181	.054053333	-.11114706	.19054577	.31409767	-.49644032	.090874791	-.070659131	.11290921	-.39136741	.10467747	.066510141	.20527281	-.0094916867	-.34607914	-.14584233	-.20029327	.78462106	-.26500651	-.36451492	-.13389438	-.1336752	-.094526432	-.3298592	-.84149694	-.21918823	.053681169	.13250555	-.069983818	.12764405	.15076265	-.18135189	.2143347	.181566
-.050643008	-.13320866	-.15769747	-.63577306	.060362592	-.12295093	.014906511	-.14093301	-.43705669	-.58594358	.030136947	.57455927	.24927363	.10539275	.095957048	.18379632	.089281932	.059267744	.21915081	.23080635	-.018596703	-.10619659	-.46844399	-.27952427	.16985527	.51753479	.19054222	.024725819	.094295785	-.51019609	-.30682221	-.39683175	-.28565282	.23039235	-.061164089	-.63306546	-.02573988	-.084756948	-.50943911	-.13611205	.70263368	-.24640812	.11234961	1.1321914	-.32915354	-.18684833	.25495183	-.18237169	.12837063	-.26810902
-.10108182	.0087136906	-.037033834	-.093659922	-.08653897	.041280791	-.90220511	-.59031355	.30209574	-.1151939	-.18033844	.2587474	.020441262	.040839281	-.025804305	-.054568511	.16826066	.058346651	-.10833371	.10294733	-.1354432	.093220465	.38406825	-.53885549	.52377558	.065488577	.05127966	-.079646856	.059714932	-.24428882	-.34726095	-.13449419	-.47619987	.73975384	-.24650796	.00093437848	-.11367787	-.57554305	-.54301238	.13853987	-.4252187	.036571324	.061723404	.44515708	.30490786	-.077414453	.086778075	-.04070884	.20138386	.11560169
-.10848878	-.17093757	-.26470929	-.25486219	-.066702984	.2280924	-.50597829	-.33104566	-.26705536	-.33030859	-.24548082	.13629527	.19280785	-.12078797	.34467539	.13860771	-.044786204	.085914515	-.084769785	.078625426	-.099080041	.038858809	.50585067	-.55638254	.19521682	-.1311658	.17853111	-.034100693	-.063344672	-.36309725	-.34146768	-.15406123	-.39031583	.6890437	.094129838	-.38579896	-.13599473	.093267865	-.16225629	-.37490827	.44567764	-.44080374	.18779463	.75185722	-.028833281	.20834996	-.07843411	.34169629	.17652135	.018930543
.30874002	-.7704798	-.28780293	-.010972256	-.019785337	.15808696	-.049089395	.054638773	-.071253732	-.1719453	.063248754	.4227899	.31118187	.077643842	.43314132	.09506385	-.10637821	.2629329	-.10793331	.040185604	.028332775	-.24844597	.46342808	-.30458975	-.34404844	.31195346	-.55780995	.099983618	.10961492	-.25121489	-.20302266	-.36104971	-.18655814	-.012665769	-.35642967	-.261125	-.11596265	-.38822716	-.47141361	-.84482157	-.016060343	-.58756697	-.25012839	.63878095	.60661	-.1242668	.21504399	-.0087056458	.1409962	.53876662
-.091796987	.16518386	-.29524866	-.91640109	.055698372	-.076661997	-.80237287	-.44986397	-.085311934	-.09776552	.0050046961	.11852611	-.059407003	-.00085459987	.017695837	.084879503	.15561815	.16859783	.21663281	.35948676	-.03351308	-.042340904	.79356581	.047404442	.25684363	.14602219	.38212088	.0091390638	.073227838	-.39785108	.23023137	-.13226934	-.26532453	.076621041	-.38998377	-.55197197	-.088458352	-.15154317	-.14923927	-.006615648	-.23336391	.43476522	-.057583518	.51737511	-.2133486	.13964629	.18929079	-.49727187	-.0078897839	.41510433
.24302603	.38986304	-.076762982	-.799887	-.069831826	.0060438737	.36737379	-.046185005	-.49155855	.012385917	.0851404	.21017773	.16688098	-.21875778	.34804335	.10580466	-.16039382	.29048079	-.028218629	.080971003	-.045725014	-.23540717	-.19979852	-.69895113	.099858992	.10872333	-.23460433	-.22742993	.21908066	-.19470786	-.24367233	-.31735548	-.31906128	.47830102	-.073104441	-.44413343	-.27389294	-.17266805	-.28175506	-.98582369	-.15089566	-.61901963	.12652233	-.084541328	-.083866261	-.38546568	.3520183	-.49228323	.034392606	.69754273
-.18007755	-.29872745	.029978054	-.95763105	.022234859	-.43009725	-.30080619	-.41887504	-.11581735	-.11997344	-.093476944	-.29853952	.0078919046	.10578141	.074116759	.27579552	-.21609531	.13714053	-.0082792379	-.025467815	.044663288	-.04945587	.20643525	-.097458318	.16226657	-.045581523	.17322417	.17046669	.062360991	.2243963	-.27254787	-.17310596	-.33438006	.30554003	-.58367372	-.38162035	-.84146762	-.13065027	-.60359699	-.13856645	.15826465	-.40893078	.043419246	.60425198	.088599466	-.15275535	.12341066	-.10375584	-.078972712	-.0057487069
.025759125	-.18112902	-.39683208	-.65311819	.16120821	-.37125894	-.27666906	-.022707783	-.13322347	-.22071952	.019549038	.2545501	.19433159	.18761767	.045133065	.081543304	-.12374489	.00075308786	.034746535	.22173879	-.45704332	-.52690542	.77231485	.65799415	.28803232	.3199378	.1002287	.0038537276	.12529252	-.064627878	-.26286456	-.26719698	-.23501499	.45752648	-.35989222	.04621692	.24734986	.07480029	.26788643	-.22751451	.13774034	.49284059	-.028641326	.86921799	-.12540951	.030324997	-.41404599	.54930395	.04255702	.1920592
-.29715338	-.36452475	-.55911559	-.68409628	.11773909	-.36597836	-.21764444	-.26767299	-.18217672	-.21358337	-.076986223	.12813814	-.075078398	.11382291	.098390229	.04115086	-.20546535	.064384438	-.054113023	.090114564	-.21145727	-.43954676	-.23449828	-.38584152	-.062960163	-.55716074	-.19694978	-.067692235	-.086761132	-.38589936	-.38133588	-.27129784	-.21310762	.21164878	-.69968998	-.46140602	.002214438	-.077056438	-.42601642	-.13337323	.64438891	-.31158894	.07815782	-.50093693	-.077373967	-.02757135	-.1138131	-.30645794	-.34305525	-.4914414
.49072513	.061831262	-.067750536	-.88090938	-.26760638	.30498868	.30818775	.17603812	-.036021367	-.057378072	-.024407705	-.02723231	.20117156	.048141398	.40304211	.24726348	.15057839	.23844343	-.003845558	.11227915	-.14065549	.16620965	-.34733424	-.19878055	-.065272145	-.033155929	-.079795033	.18026178	.0064414921	-.2040913	-.02215858	-.21105394	-.71918237	.35552928	-.74876726	-.43252721	-.019918256	-.059886437	-.16404465	.20325886	-.80474192	-.75449765	.19108295	.19270352	.10292885	-.16560507	.43709856	-.11107242	-.071136519	.31475484
.16697928	-.54185104	-.52117747	-.60166502	.0068203597	.28432733	-.47825477	-.53258157	-.83512992	-.23629387	-.23118539	.32632524	.28278497	-.085690111	.14761023	.1044847	.35499179	.22883786	.041477337	-.054427888	-.23354575	.12031979	-.16843639	-.78214848	-.0042493935	-.31748322	.14076911	-.09294457	.1348922	-.29721826	-.013572816	.11032189	-.41069481	.26781377	-.21418969	-.2611686	.23974562	-.50625819	-.10569062	.47498992	-.01528929	.27375397	.070294932	.42664668	.32545486	-.23570299	-.15959372	-.15004188	.039515872	-.31226575
-.064851671	-.41218841	-.27901784	-.066023655	.12584625	.16325386	-.0074287504	-.27356085	-.3938731	.23304166	.11459941	.40606436	.11121254	.14696179	.050270073	.056511741	.040664986	.093400411	.046530828	.28620109	.090183139	.056962118	.26779366	-.12605016	.021801244	-.20776369	.13586424	.13340382	.13465115	-.20859966	-.33445406	-.24976844	-.061285779	.77553499	-.042095479	-.019383978	.24129295	-.078697897	.090651803	-.50096685	-.28572688	-.21750668	.016463215	.50288337	-.026863802	-.17110109	-.27515176	-.30131498	-.32132679	.2569173
.078588128	-.61348706	-.35148993	-.3090362	-.19837576	.25528032	-.1943358	-.059600167	-.32304642	-.48892587	-.090955377	.35721955	.2284075	.024020402	.48718604	.14694332	-.12750292	.11809815	-.026070822	.073822513	-.036146149	-.23928928	-.11766305	-.54325879	-.041431062	-.058665212	.12436596	.030499868	.16004492	-.09144982	-.39049402	-.45812991	-.37371373	.70923525	.024698937	-.14982569	-.11041298	-.15450694	-.43954647	-.51791543	.17483145	-.39094755	.14480895	-.13013022	.35589463	.67184174	.28549844	-.1446771	-.31134102	.4677431
-.17375955	-.50392258	-.41426226	-.56117761	.1218642	.053590693	-.4736011	-.34255546	-.0020602206	-.37487838	.042363789	.17766099	.066852145	.11771066	.098546892	.024747895	-.077747531	.019250084	-.029969078	.25077599	-.24368778	-.23180836	.42402133	.17688465	.16598241	-.4450019	.23240468	.10822564	.0934847	-.082390822	.047625445	-.093056656	-.3014712	.58249503	-.85118771	-.17578153	-.52135354	-.014837068	-.67779946	-.42275664	-.26598442	-.18869202	.18456972	.038904864	-.17128401	-.065555438	.45628607	.12402818	.081705041	.38485932
.20526129	-.35698855	-.03844161	-.57912666	-.042431373	.17276165	.051041722	-.069961667	-.2316467	-.30529547	-.0034668378	.14513588	.17282966	.072724015	-.060586993	-.066542923	.25204155	.22814901	.2350658	.12816069	-.41303134	.279829	-.19251172	-.6068511	.29934686	-.45679972	-1.0990956	-.052578814	.059927184	-.30754691	-.15187454	-.16161691	-.40188479	.52487844	-.47734481	-.57274544	-.25389871	.11494472	-.10093571	.13027458	.42247576	-.19462316	-.32633379	.19003533	.079992287	-.16332853	.01645905	.16257665	-.31903997	.49860713
-.064135849	-.064416483	-.12552506	-.39144477	-.011733752	-.33778343	-.60204393	-.32602447	-.36829776	-.2081929	-.063508004	-.0011202056	.24544308	.0094844075	.13213319	.16201033	-.098288655	.092197776	.10359787	.334519	-.084186047	-.26597255	-.67152959	-.6390143	.4993096	.41266501	.38380426	-.36345804	.21930809	-.56662893	-.61721045	-.082701229	.032754228	.10058385	-.38622838	-.34077591	-.18444137	.27883685	-.077853538	-.093003646	-.6635344	-.57058156	.56941491	.16554084	-.36151743	-.13234709	.13797672	.23941807	-.21784422	-.2981801
.051179219	-.78420293	-.22723608	-.83185703	-.28912541	.036871094	.32092574	.23930176	-.43486601	.027976817	.070445664	.31620091	.027281323	.012119847	-.033224337	.055489711	.00039815984	.27030435	-.14661816	-.1694738	.15280291	-.081765391	.38151327	.32624647	.093078658	.12901439	.32712263	.14128675	.033605587	-.099727198	-.14365126	-.64600474	-.45851514	.41439378	-.17183547	-.77804357	-.295744	-.34328941	.06061789	-.2817623	-.43664256	.17858537	-.19395453	.54633433	-.48040605	-.25816315	-.070382662	.11881598	-.39843181	1.0703979
