BS4_1	BS4_2	BS4_3	BS4_4	BS4_5	BS4_6	BS4_7	BS4_8	BS4_9	BS4_10	BS4_11	BS4_12	BS4_13	BS4_14	BS4_15	BS4_16	BS4_17	BS4_18	BS4_19	BS4_20	BS4_21	BS4_22	BS4_23	BS4_24	BS4_25	BS4_26	BS4_27	BS4_28	BS4_29	BS4_30	BS4_31	BS4_32	BS4_33	BS4_34	BS4_35	BS4_36	BS4_37	BS4_38	BS4_39	BS4_40	BS4_41	BS4_42	BS4_43	BS4_44	BS4_45	BS4_46	BS4_47	BS4_48	BS4_49	BS4_50
.18030883	-.48385134	-.05337216	.62607241	-.35901779	.15015481	.53112489	.1747402	.73113352	1.1567684	.13932285	-.18501294	-.13425846	-.28836265	.097524703	.32616219	-.21566881	-.16092366	-.16612439	-.078997403	.10244118	-.54393178	.13410272	.082256824	-1.4244343	-.27356979	-.055540413	.30990258	-.31127656	1.0722297	.46153322	.12913686	-.18523529	.2897509	-.55738586	-.016760655	.37502664	.8074162	.093859412	-.31961209	-.21800873	.18685906	.20421383	.66536999	-.30766392	.075022645	.53470051	-.24692625	.56265897	-.22831137
.43803731	.17427461	.028897358	.98580408	.05874287	.14501937	.34413978	.22308151	.89513856	.61728489	.39724183	-.017811494	.33820963	.039169233	.44034594	.110611	-.20222729	.20529029	.017791603	.31720921	-.15568535	-.90106648	1.0422689	-.329211	-.26804155	-.26997194	.47541037	.49853805	.0066012219	-.28539631	.85901618	.0043211104	-.089465246	.48188415	-.3405588	-.047370054	.25608435	.30916637	-.080019929	-.1488506	1.4748935	-.22051947	.4054341	.047299024	-.11328822	.060060721	.56992543	1.2082316	.69095844	.57251149
.11261854	.48939714	.16961871	.87760234	.083107196	-.10709193	.27258834	.21422176	.47270575	.51072472	.25826836	-.12022401	.176728	-.018524148	.39993551	.30489305	-.23127669	.34651655	.29942921	.20858741	-.22473052	-.64777935	.050357856	.18930487	-.38754398	-.38316855	.68472207	.41992217	.59798521	-.23761307	-.36260357	-.1056597	.07670024	-.01043312	-.71215409	-.26307562	-.019103127	.72780257	.11242685	-.19375525	2.6001663	.28900909	.63632894	.45534599	-.38823396	-.22667828	.16920419	.27589646	.77497613	.58989573
.0073013841	-.45002481	-.73608065	2.6517715	-.023578685	.15716733	.28066167	.36990929	.76104873	.18055828	.11391457	-.034666497	-.033062249	-.24861683	.19274332	.37815464	-.19787711	.50809216	.12618959	.19644292	.4390699	-.14580144	1.8455476	.6481393	.7114349	-1.1878206	.67212868	.80801505	.14699586	.32614872	-.12333746	-.21148589	.32123774	.75101602	-.45683941	-.17311671	.70053679	.42149597	.61077183	.69144607	.82869101	.7094726	-.024038475	.45592847	-.41371569	.0014436505	.53919733	.93574315	.64026767	.13594547
-.0084325718	-.27108213	-.55524975	2.441699	.049665153	.32043293	.30744854	-.010390348	.89691234	.60085297	.087004885	-.14844503	.018120224	-.08613047	.22818948	.094939508	-.14244084	-.13018647	.13260977	.39774859	.073692948	-.0066228495	.50782055	.43652999	-1.0218809	-.28248778	.78104925	-.048544697	.4134185	.61603135	.12159774	.34129244	.29226875	.4049803	.3408713	-.22045754	-.68300247	.6892665	-.071768269	-.41753802	.84556597	-.16925599	.082770601	.48217419	.13584252	-.029937336	-.21316364	.38827726	.79916161	.15429223
.063957825	-.11554661	-.22376885	2.5660167	-.35080054	.37537444	.29506099	.02845419	.65533447	.80183721	.13362178	-.17282593	-.083888069	-.15636936	.25821334	.17840739	-.35847151	.13360368	-.094554074	.033367593	-.44944671	-.44404519	.68076372	-.055097666	.61268085	-.24592341	.4878763	.30731553	-.009157843	-.042217959	.72260129	.24561757	-.41764283	-.33044651	-.32292593	-.0049125496	-.28910607	.93454289	.21268979	-.37516341	1.1276866	.1713291	.46058255	.1148834	-.3771708	.3581557	.31574705	.33051279	.33837891	.067785293
.45447585	-.2844331	-.10252945	2.4814873	-.016595596	-.097125642	.54098582	.31807303	1.0010242	.51143235	.15182808	-.25935212	-.16636942	-.25470689	.10288863	.20886092	-.22811469	.082967848	.051522605	.17560807	.27736455	.025513133	1.0446345	.81632239	-.22251572	-.29105464	.31098258	-.14005262	-.18501762	1.0488832	-.57740712	.20438774	.28427118	.42887864	-.41985795	-.71088433	.80818027	.31317809	.36184251	.65452611	1.3873372	.24717997	.33147979	.82736933	-.099698752	-.35814077	.39365903	-.126983	.48140889	.59818447
.2679531	-.15859021	-.49046823	2.5295963	-.48211047	.0094895102	.54798746	.13583985	.18146113	1.0498914	.26948825	-.006213998	.31102708	-.072842814	.19131717	.13823988	-.16981605	-.15215091	.27618399	.2759819	-.20591773	-.91191715	-.24460578	.49003801	-.078031369	.56511033	.99747771	.02700837	-.20664224	.048685882	.47532669	.27391788	.093830049	-.20060241	-1.3505465	.24948321	.51412058	.43820786	.19409525	-1.0235262	-.81049645	.059045099	.37296733	.48114851	-.1294834	.27295816	-.68914145	1.3747537	.51873624	.88107777
-.59762877	-.39697671	-.028553598	1.5493122	-.14697686	-.077221952	.26731771	-.035489131	1.0174271	.85038036	.22961004	-.24129561	.10168722	-.29875371	.12586488	.056926589	.035103466	-.11594728	.07575684	.17169593	-.12488063	-.71418059	.21547702	-.36756372	-.18136184	-.00090701639	.48726431	.3866539	.49330789	.1908883	.078290112	.1576744	.063634597	.81561077	.087950014	-.49407712	.38809067	.018593114	.98980427	.050986987	-.25111097	.025736736	.64682937	.85391754	-.014752796	-.14198546	.07282351	.45052719	.56204194	.83304507
.14457752	-.36148939	-.357402	.42928246	.24193262	-.058836054	.36213443	.12703869	-.056777515	.25247222	.44920033	-.2124449	.37618351	.068191312	.29039052	.34276921	-.27409092	.35573578	.15939829	.33632749	.83516252	-.62840813	-.61236185	.32564634	-.27508473	-.75534809	.18877302	.2041852	.31284547	.27669764	.54039848	.083064035	-.16400942	-.075702734	-.20935549	-.40058845	-.238096	.10994443	.017784964	.58838367	.70557505	.37534311	.32793945	.45291781	-.14882363	.0022024757	.35494763	.54771024	.19683871	.59847891
