BS1_1	BS1_2	BS1_3	BS1_4	BS1_5	BS1_6	BS1_7	BS1_8	BS1_9	BS1_10	BS1_11	BS1_12	BS1_13	BS1_14	BS1_15	BS1_16	BS1_17	BS1_18	BS1_19	BS1_20	BS1_21	BS1_22	BS1_23	BS1_24	BS1_25	BS1_26	BS1_27	BS1_28	BS1_29	BS1_30	BS1_31	BS1_32	BS1_33	BS1_34	BS1_35	BS1_36	BS1_37	BS1_38	BS1_39	BS1_40	BS1_41	BS1_42	BS1_43	BS1_44	BS1_45	BS1_46	BS1_47	BS1_48	BS1_49	BS1_50
-1.6846743	-1	-1.4698607	-12.249841	-2.5268688	-1	-1.6465942	-1.3195341	-1	-1	-2.8420875	-17.384329	-5.0325861	-3.0349627	-3.5028019	-2.6839292	-6.9106355	-11.176658	-9.5298519	-8.6063261	-6.4139037	-8.2565689	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1.6817449	-1	-1	-1	-3.1837072	-2.6387713	-1	-1.5069189	-6.0550175	-7.7152486	-4.290998	-7.876164	-5.2419605	-3.1408615	-1	-2.6175518	-12.526169	-8.3379164	-12.080856	-7.0988293	-6.4255075	-10.293669	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-12.17325	-1	-1	-1	-1	-1.421572	-1	-1	-8.5154619	-3.6461642	-14.905694	-1.6957359	-2.7924604	-3.754936	-1.2204514	-2.3215272	-4.9238577	-2.9967401	-5.0281339	-5.1470056	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-5.1218514	-3.5209134	-1	-1	-1.4875269	-1	-1	-1	-4.4946504	-1.3964047	-21.22665	-2.0516739	-1	-1	-1.2918717	-2.1452169	-6.8504047	-1.6054078	-4.1062737	-2.6343348	-1.1076372	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-9.9823523	-4.0128975	-1	-2.0985625	-1	-1	-3.4042349	-3.3796744	-2.9098656	-1	-15.704662	-1.9821033	-1	-2.8397026	-2.3793118	-1	-9.7753239	-1	-3.1461935	-1	-1	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-2.9813726	-3.5481775	-1	-2.6918864	-1.5374188	-1	-1.4876964	-1	-1	-3.6053057	-8.79632	-4.7233891	-3.5275271	-2.7532928	-1.7397537	-9.5279589	-7.1555037	-9.8833675	-8.1196203	-1	-6.0006318	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1.0957302	-1	-1	-1	-1.0719019	-3.5223572	-1	-1	-1.7777307	-7.2008758	-1	-6.3023343	-3.083935	-1	-4.7711411	-1.0713445	-1	-5.236939	-1	-1.4476285	-2.2015314	-4.8180685	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1	-1	-3.3898437	-1	-2.2185791	-1	-1	-1	-2.3303239	-8.0219488	-1	-9.5961761	-1.3992207	-3.0801139	-3.873991	-1	-1	-4.076529	-1	-3.5580692	-2.7222126	-1.0271022	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-2.7584107	-1	-1	-1	-2.6926548	-1	-1.6083179	-5.251183	-1	-4.6792741	-3.4750037	-11.641456	-4.2526307	-2.9409225	-4.1919284	-4.39855	-9.9198236	-10.3524	-10.797544	-8.2482624	-6.6285009	-8.0704794	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
-1.102982	-1	-7.8679399	-1	-1	-1	-1	-1.3124753	-1.969788	-9.0500364	-2.8199143	-9.0524502	-1.3776053	-1.026696	-2.2126105	-1	-8.9654121	-5.3257966	-6.9407773	-4.5867901	-1	-3.8805532	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189	-1.6189
